,count,hate_speech,offensive_language,neither,class,tweet
191,3,0,3,0,1,"""""""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"""" depends on the female i feel"""
18047,3,0,3,0,1,RT @TheCommonCock: Rt if you killed a bitch with your dick
12777,3,2,1,0,0,Literally every man in my fam copped a bad white bitch as a wife. I ain't even boutta break da chain. Unless a latina comes around
6921,3,0,3,0,1,@mrrickyguevara lmao why would we respect him then? he's a hoe if that's true
15020,3,0,3,0,1,RT @ChiChi_knows: Chris brown a bitch because everyone talks about his relationship. Why come at two females? Charlemagne be saying the sam&#8230;
19336,3,0,3,0,1,RT @drewbillionaire: I just wanna pimp these hoe$ &amp; Ride Rarri's
18941,4,0,4,0,1,RT @alexYvette8: &#8220;@GhettoAnnabelle: @alexYvette8 don't get me started on you potato head lookin ass bitch&#8221;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;
6081,3,2,1,0,0,@ehasselbeck @bi_politics teaching that pretend son to b a pussy! his son would have LACE ON HIS JOCK STRAP!
476,3,0,3,0,1,"""""""I can't handle no liquor... But these bitches can't handle meeedd"""" - Chief Sosa"""
13641,3,2,1,0,0,"""Niggas are so fucking gay... And they try to cancel it out by saying """"nah were bros it's cool"""" nahhhhhaahahahaha you a faggot bruh"""
7955,3,1,2,0,1,And i aint neva gave a fucc about a bitch boy !
167,3,0,2,1,1,"""""""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl"""""
3805,3,0,3,0,1,"""@JuanNDaCut @ShareA40Ounce she playin pussy hole bingo."
17968,3,0,3,0,1,"""RT @TaughtYouWell: Boobs boobs boobs boobs lotta boobs"
99,3,0,3,0,1,"""""""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"""" chill I brought like like 8 prople"""
14871,3,0,3,0,1,RT @Buckm00se: @Eric_Mariners @_WhitePonyJr_ @JC_1221 this faggot is a lil attention whore fuck him #mute
8621,3,0,3,0,1,Catch me on the episode of Vampire Diaries tomorrow night. I bitch slap @KatGraham
12273,3,0,3,0,1,It's only a few real bitches I know.
23025,3,0,3,0,1,Weird ass bitches
6505,3,1,2,0,1,@justinmiculka01 @edgarguillenjr @blakeanderson21 @jo_clark6 @dalton_ryann @cjjsanchez @delao_chris quit being a bitch
15810,3,0,3,0,1,RT @HeIsMe_IAmHim: Cause lord know if another bitch call yo nigga handsome and he entertain it ALL HELL gonna break loose...
10684,6,0,6,0,1,I guess I just come off as a bitch to people &#128529;
17610,3,0,3,0,1,RT @SayrayArriaga: Pics or it didn't happen. Or you're the side bitch.
1855,3,0,3,0,1,&#8220;@kiaramariexo: &#8220;@1kRock_: boot up. http://t.co/czj5npIfKi&#8221; for u hoe niggas&#8221; so girls that take BC are hoes? &#128056;&#9749;&#65039;
10814,3,0,2,1,1,I have officially earned my right to bitch about things for the next two years! Yay!
15088,3,0,3,0,1,RT @ClutchLikeMJ: You officially brought flopping to football @TheAdams_era congrats on being a pussy... https://t.co/O7bUPLYG3L &#128564;
9350,3,0,0,3,2,Finally done wif mock regents &#128524;
5999,3,0,3,0,1,@delaylay_messy i rap that and her part of Problem 24/7 cause I'm a bad bitch
21881,3,0,3,0,1,That other shit for the birds . Get over yo self
20443,3,0,3,0,1,RT @shanequabullock: Meet me and my bitches @ #MansionElan
9721,3,0,1,2,2,God damn zebras every Virginia possession the whistle blows geeze.
22576,3,2,1,0,0,This nigga jerry room smell like bad pussy!&#128530;
23554,3,0,3,0,1,Yaaaaaas bitch
4631,6,0,5,1,1,@RealNiggaSherm wen he ho dwn da road
15941,3,0,3,0,1,RT @I_Be_kOoLz Rough face hoes be having all the kids...Who did this to u???&#128553;&#128553;&#128553; + Self esteem issues.More kids = secured love.
12220,3,0,3,0,1,It's Friday bitch!! http://t.co/9Taj2OUsCc
11995,3,0,2,1,1,If your twitter is private but your Instagram is public u r probs a trash talking thot
10235,3,0,3,0,1,I CONFESS&gt; #DegenerateArtist and #RebelScience IS THE #WALRUS who sneaks pussy in the night&gt; I AM #Artist paints your wife with #BASTARDS&gt;
13521,3,0,1,2,2,Nah. ITS OVER&gt; People don't tell #artists what do to. That's defies the definition of what WE ARE TRYING TO SHOW #youpeople. #retards #game7
6017,3,0,3,0,1,"""@dickburritoz"
2415,3,0,3,0,1,@AbstractLife yeah. can't lie tho spitting on a cop car right with their bitch ass in it feels damn good.
23359,3,0,3,0,1,Why everybody so hype to see these famous people naked y'all hoes just alike they just got money &#128557;
10415,3,0,3,0,1,I can't wait to turnup with my bitches . I miss them &#128553;&#128553;
22190,9,0,9,0,1,These bitches irri.. irri irri..irri irri
6601,3,1,2,0,1,@kieffer_jason I heard your mama raised you like bitch
2464,3,0,3,0,1,@AllieBruner is my main bitch.
15839,3,0,3,0,1,RT @HiDevon_: The nae nae got to the white ppl it's too late &#128553; &#8220;@ayoTeeshh: Lmao they ate this hoe stonnaaaaa &#128535;&#128168;&#127809;&#127811;&#127810; #NaeNae https://t.co/pn&#8230;
6357,3,0,3,0,1,@irwinhype thank you so much. it was a bitch move of her to pull. but thank you &#10084;&#65039;
2013,3,0,0,3,2,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/Br7el4ZXrw
19756,3,0,3,0,1,RT @jaunthegoat: Lost my erection and found it in your girlfriends pussy
8994,3,1,2,0,1,Dis nigga look retarded
13994,3,0,1,2,2,Only Americans are degenerate enough to 'honor' their war dead by having a barbecue. Anyone who 'grills out' for Memorial Day is trash.
12352,3,0,3,0,1,Jealousy is such a bitch.
15243,3,0,1,2,2,"""RT @D_Sidbury_: &#8220;@lookwhogotit: All of Kate Upton's leaked nudes today &amp; more &#128525;"
4111,3,0,3,0,1,@MOLLYx__ use coconut oil faggot
14497,3,0,3,0,1,RT @AlmightyVinny_: Fucc hoes dats how I feel
12197,3,2,0,1,0,"""It happens AGAIN!! Black pack beats """"whitey."""" This should make national news. http://t.co/izKoA2Xb"""
1837,3,0,3,0,1,&#8220;@jaimescudi_: @Tonybthrz_ @cinndyyxoxo_ @BriannNiloo_ fuck me then bitch&#8221; shut up and roll threw
18333,3,0,3,0,1,RT @UnCharted_: Don't get your panties in a twist. Just take 'them off and let my tongue twist around in your pussy instead.
12974,3,0,1,2,2,Looks like a tool but is useful as a clay hammer #fag @hOPPondis http://t.co/K7wqlAWRwM
1857,6,0,6,0,1,&#8220;@kincade00: Rico full of shyt&#8221;full of money hoe
11708,3,0,3,0,1,I'm the pull bitch
8747,3,0,3,0,1,Come thru Keyshia you queen of THOTs bitch!!
19746,3,1,2,0,1,RT @jakesiwy: @Ryan_Murphy3 http://t.co/i1rnKjMKeU fag
19188,3,0,3,0,1,RT @ckillaTRIPPY: Im a knock the pussy out like fight night
9109,3,0,3,0,1,Drop her off? dat bitch a be walking if i wus driving....
19682,3,0,0,3,2,RT @indykaila: Exclusive: Ars&#232;ne Wenger gave two yellow cards &amp; red card while refereeing a charity match in Rome. @Arsenal
22018,3,0,3,0,1,The fuckin hoes
1673,3,0,3,0,1,&#8220;@_DEROOO: &#8220;@ViriDoesItt: How I lose this sweet..&#8221;you ain't lose it you hide it lmfao Viri tryna smoke that hoe to his self&#8221; &#128514;&#128514;&#128514; Boy...
9507,3,1,2,0,1,Fuck drama class. This bitch boring as hell
6842,3,0,3,0,1,@mckinley719 bitch I will kill yo vibe
18991,3,0,3,0,1,RT @arigold_88: Tiny.... girl. Can't trust a bitch named Tameka no way.
3343,3,0,3,0,1,"""@GingerDemoness"
2145,3,0,3,0,1,' Somebody come look at this niggah right here * Kevin Hart Voice * lol http://t.co/R2mhWqc2jT
15268,3,0,3,0,1,RT @DamianSHughes: &#8220;@G_Verch: Damn I hate being a huge pussy&#8221;
9204,3,0,2,1,1,Europeans taste-test America's most white trash snacks via @sohostyle http://t.co/TN2M01A1IQ &#127839;This is hilarious! #foodie-ish
19670,3,0,0,3,2,RT @illroots: The radio is trash.
18127,3,0,3,0,1,RT @TheSexFacts101: Fucking over your guaranteed pussy trying to get some more pussy will end you up with no pussy!
23230,3,0,3,0,1,"""When you give somebody that """"bitch"""" look"""
6998,3,0,3,0,1,@ovoxokatie hoe stfu
19434,3,0,0,3,2,"""RT @fletchworld73: Pulled a dead bird from my garden."
4765,3,0,0,3,2,"""@SaltyBlackBroad ma'am ...Did you clear that tweet with the @NAACP ? Careful they may brand you """"race traitor"""" for the nerve of thinking&#9786;&#65039;"""
10048,3,0,3,0,1,Help me speed up the process of fucking your bitch..feel me?
5074,3,1,2,0,1,@TheJustinnn @toddkincannon @realbrother0003 He's a pussy
10676,3,1,2,0,1,I gotta bitch to suck my dick till I nut spit it on my gut and slurp that shit back up ain't that a slut
19396,3,1,2,0,1,RT @erinfbaaby: &#8220;@2chainzz2pumps: Girl ugly denna hoe &#128532;&#8221; what's this then :/ http://t.co/YbXiFwTugu
10970,3,0,3,0,1,"""I lose OVO followers every year. 100 bitches unfollowed me because of my """"Hold On We're Going Home"""" rants. A HOE ATHEM is a hoe anthem"""
3377,3,0,3,0,1,@Gorillaleo fuck your chicken sandwich ho!!!
14798,3,0,3,0,1,"""RT @BowDownn_Bitch: Nine times outta ten the bitch using them same unclean brushes on all ten of her clients. I can't with you """"beat faced""""&#8230;"""
371,3,0,3,0,1,"""""""@midyWIDEY_: I'm rea start smacking bitches period !"""" Bluffin at its best"""
9495,4,0,4,0,1,Fuck around and get your honeybun took in that bitch with all that crying nigga!!
16133,3,0,3,0,1,"""RT @JayDokter: """"@TwiterDeze_NUTS: Quote this with a funny caption http://t.co/XA48tCxiaO"""" niggas gotta hit their side bitch with this in th&#8230;"""
15159,3,0,3,0,1,RT @CuffYoFee: I take a bitch to Houston's she better not speak to another nigga while the meal still in her digestive system
7652,3,1,2,0,1,A lady approached me asking me if I was religious and when I said no she scolded me on how I'm going to hell. See you there crazy bitch &#128520;
9916,3,2,1,0,0,Happy Columbus Day! Even #BillMaher likes #cocaine and #Columbus!!! What the fuck is wrong with you #liberals? Fuckin' #moron #retards....
9148,3,1,0,2,2,"""E250 5.4 motor and tranny"
3502,3,0,3,0,1,@Hunglikerobby_ @BOSSBITCHDAPHNE @taytuckfuck &#128514;&#128514;&#128514; bitch no more on my account
23363,3,0,3,0,1,Why he try say alexi stole Jo bitch lmao
1217,3,0,3,0,1,&#8220;@ClassicPict: http://t.co/ZStrqBpwpw&#8221; shit like this is retarded.
12196,3,0,3,0,1,It gets me mad when a Mexicans go against Mexico like wtf support your team bitch
21014,3,0,3,0,1,Running dangerously low on cigarettes these bitches better last me till Monday or Tuesday
9593,3,0,3,0,1,Fucking thirsty bitches
30,3,0,3,0,1,""""""" i txt my old bitch my new bitch pussy wetter """""""
9398,3,0,1,2,2,Foles vs 9ers in San Fran or Eli vs redskins in DC
2018,3,0,0,3,2,&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24 http://t.co/dyYvrEJAm3
12017,3,0,3,0,1,Im about to fuck taylors bitch ass up
18886,3,2,0,1,0,RT @_missvain: Lmfaooooo &gt;RT @sirTurn3r: Lmaoo Thats what u got from this? RT @waddupivy: Dougie be yamming the coon all that beat boxing &#128553;
10483,6,0,5,1,1,I don't get what standing on Ya tip toes does for these pics these hoes be taking
20640,3,0,1,2,2,RT @tishforprez: that pointy nail game is for da birds.
5504,3,0,3,0,1,@_Saltlife13 Lol chill pussy
15384,6,0,6,0,1,RT @Donnie_Blow: &#8220;@_100d: Having a bitch ain't goofy. Having bitch dat ain't loyal is&#8221; &#128588;&#128175;
18034,3,0,3,0,1,RT @TheBardockObama: Yea but who gets more bitches grandma
10800,3,0,3,0,1,I hate yal I'd delete my twitter if I had somethin better to do bitch ass niggas
10945,3,0,3,0,1,I like chilling with your bitch and I like fucking her.
10887,3,1,2,0,1,I just want to beat the fuck out of everyone that stares at me like bitch STAHP
19391,6,0,6,0,1,RT @enymsaj_h: Kills me when bitches have a different REAL life MCM every damn Monday lmao. #WhoRaisedYou &#128550;&#128550;
2461,3,0,3,0,1,@AllEyesOnKIE &#128514;&#128514;&#128514; real rap fucked that bitch lay up for the day that's really disrespectful like bitch u couldn't feel the throw up coming&#128530;
22104,3,0,0,3,2,Their gotta be a loaded lux vs Murda mook 3
1956,3,1,2,0,1,&#8220;@tay_torrez &amp; wealthy? RT @DrTruth247: My aunt said I'm handsome fuck you hoes&#8221;broke
2537,3,0,3,0,1,@Articulate_Aura bitches don't know if they wanna play basketball or look sexy bro
12847,3,1,2,0,1,Lmaooooo RT @savvgrace: bitches be like &#8220;relationship goals&#8221;&#8230;. Dumb ass nigga http://t.co/5CuNHFd79O
23466,3,3,0,0,0,Worlds biggest faggot lol
18076,3,0,3,0,1,RT @TheKingScottyD: Side niggas get pussy and main niggas get arguments
16752,3,0,3,0,1,RT @MarkAdkins2: #projectdrugs&amp;bitches
9780,3,0,3,0,1,Got 1 baby mama no bitch no wife ....
20925,3,0,3,0,1,Ready to bounce out dis bitch
19018,3,0,0,3,2,RT @babiesdressup: What a silly little monkey &#128584; http://t.co/DMKLK4k147
23173,3,0,3,0,1,When ever you dog hoes really bad you end up w/ a girlfriend ...
3629,3,0,2,1,1,"""@ItsNotHarold I'll try tomorrow RT @Harold: Gonna try and eliminate the word """"bitch"""" out of my vocabulary. I need to start bettering myself"""
9662,3,0,3,0,1,Get tf off joseline pussy!!!! Like damn
8140,3,0,3,0,1,Bad bitches in the pen make my toes curl
8690,3,0,3,0,1,Chicago hoes love pink lipstick &#128530;&#128533;
20311,6,1,3,2,1,"""RT @psjohnson23: The problem with retard liberals is they think Supply &amp; Demand means """"Supply me with everything I Demand."""" #VotingMatters"""
17798,3,0,0,3,2,"""RT @SportsCenter: Peyton Manning's remarkable season:"
9086,3,0,3,0,1,Double up on that blow bitch!
16788,3,0,1,2,2,RT @Medz4u: &#8226;not all black girls are ghetto though
24992,3,1,2,0,1,tears &#8220;@TheDouch3: #RelationshipGoals RT @queenallyssa @TheDouch3 don't call me sweetie you fucking retard&#8221;
1967,3,0,3,0,1,&#8220;@therealiman: No one wants to see curvy women - Karl Lagerfeld&#8221; he retarded
17989,3,0,3,0,1,"""RT @TerrorFranchise: """"I'm turning over a new leaf! No more drama and CoD for me!"""""
17121,3,0,3,0,1,RT @OGBEARD: If I got $50 and my girl got $0 then I still got $50 cause that bitch should have a job.
875,3,0,0,3,2,#philhughes @Yankees #nyy better then UR whole team
17807,3,0,1,2,2,RT @StayyeGolden: &#8220;@vivalakristia: Everybody that's still on Facebook ghetto or pregnant idc.&#8221;accurate
20125,3,0,3,0,1,RT @mirah_101: i look at EVERY bitch ass that walk past me !
11885,3,0,3,0,1,If this bitch new the amount of shit I spoke bout her on my twittah lol
4564,3,0,3,0,1,@PrimoMars nicca u read what i typed u aint slo by a long shot dont play dumb now litebrite lol
22461,3,0,3,0,1,This bitch mentioned dr. ruff...I'm done.
4932,3,0,3,0,1,@StriveForLight Report me for what bitch? You need to read the Twitter rules and guidelines. This ain't Facebook cunt.
22815,3,1,2,0,1,U look like a dyke in ur pic lol
1655,3,0,0,3,2,&#8220;@Yummy: Oreo ice cream cake &#128588; http://t.co/dvabPmgQjo&#8221; &#128525;
17727,6,0,6,0,1,"""RT @SkinnyKenny13: """"@1017_Sqquad: When a fat bitch want you and a skinny bitch can't cook nothin for you &#128514;&#128514;&#128514; these hoes ain't hungry &#128514;&#128514;"""" do&#8230;"""
999,3,0,0,3,2,&#128514;&#128514; maaaaannnn i hope so! RT @ABrown252: @VonshayeB did we get rid of John Legend looking Charlie Batch?
11770,3,1,2,0,1,Idk what's worse then a broke hoe with potential
5362,3,1,0,2,2,@Yankees team sucks
9709,6,0,0,6,2,Glad I ain't got no bird legs &#128514;
24381,3,0,2,1,1,"""guys that cheat on their girlfriend are trash."
20471,3,0,3,0,1,RT @skyereyes_: If that's what makes these fat bitches sleep at night &#128564;
17947,3,0,3,0,1,RT @TaeCocky: I heard you wit that bitch that everybodyyyyy fuckingggggg
18267,3,0,3,0,1,"""RT @TrxllLegend: One good girl is worth a thousand bitches"
38,3,0,2,1,1,""""""" lames crying over hoes thats tears of a clown """""""
4470,3,0,3,0,1,@OnThisCloud_9 fuck you bitch
1806,3,0,3,0,1,&#8220;@girlideas: why do bitches stand like this? &#128563;&#128541; http://t.co/QQ9vQyLru1&#8221; she wanted to be in MJ's smooth criminal video so bad..
7397,3,0,0,3,2,@travistefft I know how you feel....I never thought I'd see the Sox win in my lifetime. Hope you can use Ant's Yankees hook up to see a game
17391,3,1,2,0,1,RT @RWSurferGirl: Toss 'em out of office? Or just throw 'em in the trash? #trashbucketchallenge has politicians on the run at... https://t.&#8230;
12435,3,1,2,0,1,Just got into with some chic in Rally's parking lot bitch speeding through the parking lot and almost hit my niece &#128545;&#128545;
3589,3,3,0,0,0,@ImToBlame you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a #TwitterHoney.
6198,3,0,3,0,1,@gillis_seth @_B_R_Y_C_E_ where you at bitch
15048,3,0,0,3,2,RT @ChristineKKTV: Great weather to hit up the slopes this weekend... @Arapahoe_Basin &amp; @LovelandSkiArea open Saturday! #COwx #skiseason ht&#8230;
11920,6,0,6,0,1,If you balling buy yo bitch somethin
14530,3,0,3,0,1,RT @AndyyDotCom: You gotta be a weak bitch to let a couple tweets get you out of character.
12390,3,0,2,1,1,John Kerry.... the SELLOUT: http://t.co/SFIRSvDy #neverforget how this pussy screwed our troops in Vietnam. Now he's rewarded. Disgusting.
14236,3,0,0,3,2,Praise thy lord for this season of beanies that is upon us
10221,6,0,6,0,1,How's work bitch @mdsaab1
1348,3,0,0,3,2,&#8220;@Iifetip: Kit Kat brownies. http://t.co/40W2a8qlBy&#8221; making.
7622,3,0,0,3,2,A bird just flew into my window?????? I hope he's okay &#128563;
7636,3,0,3,0,1,A fat bitch &gt; RT @WayneL_Jr: A strong black woman &gt; RT @Ivan_splash: Kim&gt;Kourtney&gt;Kendall&gt;Khloe&gt; Kylie
9345,3,0,3,0,1,"""Fight me you tubby bitch """"@JoseCanseco: I'll fight anyone&#8221;"""
21374,3,2,1,0,0,So I decided to drive to the good walmart where the colored folks don't go bc it's food here.
18233,3,0,3,0,1,RT @Trap_Jesus: RT @StrangePintura: &#128557; RT @TheRealTenski: She went all the way to Home Depot just to take a sink pic I hate you hoes http://&#8230;
9376,3,2,1,0,0,First thing I do when I hit the lotto is buying @moniqueeedavis two fat bitches and watching her eat both in one sitting
12059,3,0,3,0,1,Im the man around this bitch baby check out my wrist watch &#8986;&#128130;
12952,3,1,2,0,1,Look at that THOT... pussy popping for usher.
3488,6,4,2,0,0,@Hovaa_ ok wat ever u say whitey. u prolly never even seen shaft.
18479,4,0,0,4,2,RT @Wilnerness590: . @Jmart96 Because Outman is a brand-new #Yankees and because Girardi will never use 3 relievers when he can use 6.
22921,3,0,3,0,1,Waddup bitch I gotta get tf outta this town tonite http://t.co/fDc54X3cB0
17609,3,0,3,0,1,RT @Say_Lil_Zack: Why y'all's ain't do nun when the fat bitch jumped on me! Yall a trip&#8252;&#65039;
358,3,0,3,0,1,"""""""@juicyyyjayyyy: Side bitch Sunday &#128514;&#128514;&#128514;"""" &#128514;&#128514;&#128514;"""
10527,3,0,3,0,1,I don't want no boof hoes or no burnt girls !
22254,3,0,3,0,1,These hoes crazy yo.
14342,3,0,3,0,1,RT @1WayHustle: I got bitches geekin sneakin cocaina cross the customs - @TheDonIV
17907,6,1,5,0,1,RT @TAXSTONE: If certain niggaz can even get my bitch attention hey can have it
21872,3,1,2,0,1,That nigga Tannehill trash lmao Dolphins trash
20751,3,0,3,0,1,"""RT @wb_kaylaa: Fake bitch : hey girl"
23598,3,1,2,0,1,"""Yea Oscar your a grouch.. """"Bitch I live in a fuckin trash can"""""""
294,3,0,3,0,1,"""""""@_BeeDontCare My pussy still fresh"""" &lt;----- something stank girls say."""
13101,3,0,3,0,1,Maybe I shoulda informed my cousin of my social anxiety before taking me to this over crowded bar. On the bright side Texas has hott bitches
637,3,0,3,0,1,"""""""bitch my vagina is a little more resilient than that"""" -@rosestokoe"""
15507,3,0,3,0,1,RT @FREDOSANTANA300: Woke up tryna fuck yo bitch
12236,3,0,3,0,1,It's basic bitches unite around these parts &#128514;
17865,3,0,3,0,1,RT @SuckMy_John_Son: #VolNation bitch
13653,3,1,2,0,1,"""Niggas cant stand me cuz they bitches be feelin a nigga . Get mad at yo so called """"girl"""""""
23464,3,0,0,3,2,Working Saturday is for the birds #FML
12204,3,0,3,0,1,It pissrs me tf off when I call you back a half a second later nd you dont answer. You a bitch ass nigga for that
10583,3,0,3,0,1,I flipped dat pacc said fucc a bitch n went and did it again
12565,3,2,1,0,0,Know why the ultimate warrior died? God LOVES fag #toosoon ? He was an anti-gay crusader so a little light jokes are necessary
985,3,0,3,0,1,&#128175; RT @DammitHamm_: Loyal pussy .
11602,3,3,0,0,0,I'm just upset they got faggots on this show
9073,3,0,3,0,1,Don't try and pull that fake friend shit on me bitch.
977,3,0,3,0,1,&#128119;&#128119; you needa stop sucking dick hoe &#128514;&#128514;
24507,3,0,3,0,1,i think im addicted to naked pictures an sittin talkin bout bitches we almost had
201,3,0,3,0,1,"""""""@NastyCopper: Money getting taller and bitches getting blurry"""""""
14592,3,2,1,0,0,RT @AyeeDeb: Ray J is the perfect example of what happens when you give a lame nigga some pussy.
10756,3,3,0,0,0,I hate the white trash cops who raped and murdered my infant daughters and son.
19911,3,0,3,0,1,RT @kxngnandi: &#128175; I wish the bitch would . http://t.co/6Fm6UIgKdm
20090,3,0,3,0,1,RT @mckooley: shimmy shimmy ya bitch
16754,6,0,6,0,1,RT @Marlin_FishyAss: A bitch a get chalked b4 I catch feelings
18763,3,1,2,0,1,"""RT @_TrackStar15: I hate """"I'm my own WCW"""" ass bitches &#58382;"""
9384,3,0,0,3,2,Flappy bird instead of studying? Sounds great.&#128527; &#128555;#flappybirdisruiningmylife
5906,3,0,3,0,1,@claire_ming get some orange hoe
24077,3,0,0,3,2,anybody want to take me to pollo?
2977,3,0,1,2,2,@Crewz76 I miss Tupac rap offs hillbilly
22141,3,0,2,1,1,There are some real life hoes on IG. Crazy.
19980,3,0,3,0,1,"""RT @lilduval: Real bitches text u """"can u talk"""" before they call"""
451,3,0,3,0,1,"""""""For every bad bitch there is a nigga tired of fucking her"""""""
19242,3,0,3,0,1,RT @dahliafoxx: sick of bitches bitching about other bitches.
10003,3,0,3,0,1,He prolly gone laugh n say this bitch crazy &#128514;&#128514;
8234,3,0,3,0,1,Better play your part bitch don't be a smart bitch cuz I might have a change of heart
21655,3,0,3,0,1,Stupid ass hoe
16749,3,0,1,2,2,"""RT @Mari_813: """"Bae"""" means """"before anything else"""" I always thought it was a ghetto word for """"babe"""""""
25008,3,0,3,0,1,"""that was me trying to be """"mature"""" about the subject. what kind of fucking pussies are you to bitch about a satirical tweet against asians?"""
20382,3,0,3,0,1,RT @rosestokoe: My bitch makes your bitch look like precious &#128109;&#128111;&#128150;&#128571; #thebooty #ohgawd #bae http://t.co/7FcCkRhxJI
7421,3,1,2,0,1,@tucsonchld lol you can only get in at Eden when you're 18. All the bitches there are fat...
4287,3,0,3,0,1,@Morgan_Savannah should have fucked that bitch up
17496,3,0,3,0,1,RT @RihannaHasAids: bitch built like squid ward after he ate all the Krabby Patties RT @AcaciaMakayla: @DJZeeti DONT RETIRE &#128553; I love you. h&#8230;
5436,3,0,1,2,2,@_BDOE bro u trash at that zombies
15410,3,0,1,2,2,RT @Drfreezeburnn: Just spent a good twenty mins trying to teach my bird the skyrim theme song. Then I realized that he was a bird.
9758,3,0,3,0,1,Good morning Monday I have my truck money full tank and I didn't do any homework. Your my bitch Monday
22315,4,0,4,0,1,"""These side bitches will wait til they know u wit ya lady to text u """"hey boo"""" bitch gtfoh"""
1261,3,0,3,0,1,&#8220;@DueceDaGod: @JefDaBest I'm on my Y.U shit using LinkedIn at work b&#8221; lmfaoo bagging them linkiden hoes lol
533,3,0,3,0,1,"""""""Maybe she wants to be more than your friend or maybe she's a stupid bitch. You never know until you make her cum."""" &#128514;&#128514;&#128514;"""
10897,3,0,3,0,1,I keep these hoes in check until they bounce
4675,6,0,6,0,1,@Righteouz_ @growejr I could have that chick there boobs in my face and score the fight better than the bitch that made it 114-114
6854,3,0,3,0,1,@meowfiesta o #k #bitch
519,3,0,3,0,1,"""""""It takes a true directioner to accept Larry"""" You know what bitch its fans like you that make the boys cry. #ThankYouPaulForConfirmingLarry"""
13932,3,0,3,0,1,Omfg. The crazy bitch is here&#128557;&#128584;
20091,3,2,1,0,0,"""RT @meaghanyockey: """"@savanaharanda: Is you a girl or a guy is you my mom or is you my dad ?"""" Im a butch dyke"""
22227,3,1,2,0,1,These hoes a smash on one of yo niggas and be very proud
13990,3,1,2,0,1,One thing i always tell my lor cousins big cousins my bitches &amp;&amp; niggah u always gonna be good regardless
6576,3,0,3,0,1,@keshhh got bitches that look like Bulldogs instead lol
22617,3,1,2,0,1,This subway worker is being a major bitch to a soldier. come on show some respect
5995,3,2,1,0,0,@delaney_guinan a faggot that needs to grow up
12423,3,0,2,1,1,Just because you have a issue and your attorney is out of town doesn't mean you can be a bitch to me. Next time don't get in trouble
6312,3,0,1,2,2,@iStandy is he chunky?
12590,3,0,3,0,1,"""LMAOOO @ """"*gasp* that bitch"""""
17118,3,0,2,1,1,RT @O3_Millz: Wish I could get drunk tonight.. But my hoe ass drinkin buddy sick &#128530;&#128530;&#128586;&#128567; @1BookieG and the other one left &#128530;&#9992;&#65039;&#128640;&#128186; @xDSmooth
1548,3,0,3,0,1,&#8220;@SexyUnderHere: Females that know they are hoes really the coolest chicks....all sex asides&#8221;lmao
10491,6,2,4,0,1,I don't have another face other than my bitch face. &#128139;&#128128;&#128148; http://t.co/lWHzwbQBZk
7738,3,0,3,0,1,Ain't no bitch doe
19116,3,0,3,0,1,"""RT @bugattibeez: """"Nicki Minaj ass so fake."""" -a bitch walking around w/ weave"""
14721,3,0,0,3,2,RT @BigMac6374: I don't like the weather right now it's scaring me lol why is it yellow?
22779,3,0,3,0,1,Twitter watching bitches.
1160,3,0,3,0,1,"""&#8220;@BeenSlimm: Too many """"lil niggas"""" on my TL. http://t.co/vqGezMMwWs&#8221; boosie got hoes"""
9845,3,0,3,0,1,Gucci mane on a bitch
23114,3,0,3,0,1,What you saying hoe?
18428,3,1,2,0,1,RT @WatDaFckYouMean: Can't give these hoes a inch cuz they'll try to take mile
11414,3,0,1,2,2,I would describe @whatupag's work as blaxican.
12935,3,0,3,0,1,Lol this girl makes fun of guys for having like light voices but I'm just like bitch your voice is like deeper than five men together wtf
9668,3,0,3,0,1,Get yo bitch jumped by 6 nigguhs
432,3,0,3,0,1,"""""""Bleed out hoe!!!"""" -Alexa"""
13188,6,0,6,0,1,Modern day singers talk about the same shit rappers talk about lol....hoes
3817,3,1,2,0,1,@JuliaDBrock Are we still talking about animals? I know some Asian folks that would love to see how you prepare your pussy before eating it.
18788,3,0,2,1,1,RT @__Junebugg: That hoe is live though
3740,3,0,3,0,1,@JeffBlogwell time to call hoes
16027,3,0,0,3,2,RT @ItsChee_: Whipped https://t.co/uCV3Hrjatv
7515,3,0,0,3,2,@wodaeeex3 it didnt open das y i asked cus i thought yu ate wat i had Pork chops yellow rice n beans
14004,3,1,2,0,1,Only faggot pussies put their twitter pic of them and their dog
6126,3,0,1,2,2,@fairflattaxnow @Morning_Joe @JoeNBC hey #teabagger the law made it a FELONY to keep and collect the records. Get your facts straight
